,people_ID,21st March Probability
0,19221,0.31342077
1,6222,0.28667897
2,7841,0.3215407
3,23291,0.30813816
4,8407,0.2755981
5,8693,0.30035508
6,23048,0.33817908
7,17898,0.34533024
8,4549,0.2864779
9,20929,0.48640528
10,6319,0.54179037
11,19318,0.3267963
12,25140,0.30462414
13,20039,0.32607916
14,17473,0.25285923
15,23096,0.32301223
16,23983,0.3501081
17,4162,0.30289495
18,6050,0.28647578
19,23323,0.4724224
20,7596,0.25314504
21,3943,0.29975662
22,18793,0.3599792
23,17801,0.27400267
24,23184,0.32401997
25,19110,0.27205795
26,6632,0.3212579
27,11440,0.25763714
28,12287,0.32550636
29,7691,0.52656025
30,10766,0.4975924
31,6084,0.37576163
32,18012,0.3599782
33,8417,0.5189987
34,12494,0.48706424
35,5528,0.36010188
36,17042,0.5174557
37,20521,0.29685456
38,11906,0.33959472
39,19256,0.33746195
40,12515,0.2680788
41,25084,0.28177655
42,5372,0.34508598
43,18183,0.3854426
44,24155,0.27156365
45,23778,0.34870607
46,5982,0.35428807
47,17701,0.37632912
48,23442,0.54687476
49,23674,0.3070178
50,17390,0.4862547
51,19483,0.3330775
52,23546,0.5317942
53,11535,0.31610036
54,8465,0.2611475
55,17056,0.24278894
56,16851,0.26802397
57,7622,0.25315455
58,11705,0.2747025
59,7827,0.28708714
60,20434,0.2945078
61,10454,0.3119327
62,4346,0.2558601
63,17896,0.29087728
64,5259,0.36230576
65,6699,0.307469
66,19490,0.5033761
67,7337,0.29599613
68,8390,0.29615605
69,18041,0.2859311
70,5239,0.35192376
71,4942,0.29035717
72,20836,0.29237664
73,4754,0.2988943
74,17577,0.30262005
75,24434,0.5399234
76,23425,0.31882495
77,10765,0.3070178
78,5692,0.3637126
79,11320,0.28466186
80,16363,0.30985123
81,19340,0.27140728
82,11738,0.31381363
83,20562,0.24264622
84,17382,0.25301665
85,5478,0.36596817
86,5820,0.28056663
87,6924,0.2721244
88,20557,0.4877527
89,25056,0.32818073
90,7773,0.3196611
91,18847,0.5505201
92,4611,0.27177763
93,4164,0.31799495
94,20664,0.30901247
95,7523,0.30276933
96,20824,0.30663297
97,17515,0.2649617
98,11610,0.34133244
99,23269,0.33222106
100,19025,0.26073217
101,5328,0.36559218
102,20801,0.2701567
103,21352,0.29506636
104,6805,0.3118403
105,5468,0.33831277
106,8046,0.29208136
107,11731,0.28612262
108,24442,0.33746195
109,18217,0.5002383
110,6011,0.44621152
111,6526,0.2741256
112,8537,0.28942317
113,10357,0.25973552
114,17108,0.5246242
115,19092,0.27632335
116,5122,0.49833152
117,11649,0.34798896
118,11195,0.49387833
119,20186,0.5166245
120,11394,0.26974392
121,23383,0.3342623
122,18144,0.3819167
123,23839,0.2645162
124,11811,0.30390704
125,20496,0.48937002
126,24949,0.31088954
127,20525,0.28942317
128,24349,0.29906142
129,23464,0.36666232
130,24863,0.26736167
131,19781,0.53724486
132,7933,0.4707146
133,19839,0.31219524
134,24222,0.3066876
135,4707,0.28128663
136,21255,0.26964924
137,3893,0.31670505
138,16823,0.4760746
139,11710,0.28095973
140,6533,0.31552345
141,22864,0.3216985
142,4600,0.3000663
143,6051,0.38814816
144,12404,0.28394473
145,17598,0.5193783
146,24367,0.36109304
147,22755,0.31552345
148,4757,0.2649617
149,6519,0.31342077
150,20392,0.29543892
151,10196,0.3431533
152,7992,0.28835803
153,24950,0.33614624
154,6919,0.32790005
155,21147,0.25489625
156,10630,0.33959472
157,11661,0.2812065
158,8569,0.46105275
159,5011,0.2854844
160,7374,0.5410859
161,19940,0.32260436
162,8677,0.4811027
163,23972,0.26736167
164,22924,0.28333926
165,16976,0.3042673
166,10845,0.48310497
167,3932,0.25838858
168,24971,0.32260436
169,4098,0.3049668
170,18774,0.27439827
171,19100,0.30921876
172,17300,0.2707622
173,6196,0.2645385
174,24853,0.32401997
175,24429,0.32153052
176,7181,0.27932692
177,11026,0.3556856
178,20740,0.30173248
179,8243,0.292534
180,10940,0.33308125
181,6943,0.25764292
182,5686,0.37966496
183,19371,0.3070178
184,16767,0.25895506
185,23662,0.3283512
186,11968,0.53409404
187,21111,0.26614437
188,16540,0.37529397
189,4127,0.2616602
190,21268,0.47096127
191,7484,0.2645162
192,11420,0.5550804
193,18338,0.28667998
194,7676,0.5336245
195,11565,0.3267963
196,20486,0.4651884
197,12342,0.31725228
198,20723,0.28926587
199,3957,0.47234267
200,23246,0.52572155
201,23514,0.50217986
202,18086,0.35842234
203,25108,0.26464194
204,5676,0.29159442
205,24881,0.53305817
206,4109,0.2957835
207,17977,0.28740978
208,23558,0.34690064
209,4868,0.25584427
210,18657,0.35728636
211,4077,0.25489625
212,4477,0.2864779
213,23947,0.3066876
214,10920,0.32607916
215,6315,0.3681532
216,4833,0.3198796
217,12131,0.31552345
218,23857,0.3300603
219,6639,0.5228034
220,20677,0.29757166
221,6383,0.32301223
222,10674,0.26212317
223,23459,0.31700408
224,17265,0.25133365
225,23254,0.31042466
226,11853,0.28683975
227,16351,0.28926587
228,5804,0.3622033
229,4631,0.48107067
230,19003,0.34798896
231,24119,0.32790005
232,23435,0.2797695
233,18403,0.36945304
234,10218,0.2819236
235,20126,0.5193689
236,4439,0.559793
237,25210,0.27369642
238,7926,0.2809564
239,7292,0.33200544
240,19034,0.27943414
241,20669,0.2904908
242,19559,0.27540764
243,5214,0.3624042
244,6390,0.27328688
245,19196,0.3139676
246,5115,0.28910494
247,7905,0.3274877
248,24129,0.3216985
249,17564,0.3070969
250,11750,0.34870607
251,20845,0.49561203
252,10190,0.33817908
253,17998,0.35787553
254,10438,0.5000469
255,24162,0.34657598
256,4254,0.2736572
257,24438,0.31124997
258,25036,0.4818241
259,23203,0.32976687
260,11691,0.3070178
261,5343,0.3921697
262,10943,0.3468265
263,18333,0.38075423
264,10868,0.28424305
265,17356,0.3066292
266,5670,0.28693214
267,19849,0.3073392
268,24484,0.32000762
269,17233,0.2677772
270,4976,0.30829537
271,4007,0.28647846
272,6256,0.38935423
273,5178,0.35879713
274,5026,0.2950822
275,4142,0.31670505
276,21100,0.52806956
277,23165,0.27932692
278,7158,0.5837103
279,16360,0.5705553
280,23914,0.47618932
281,10142,0.3251106
282,19278,0.27484274
283,23699,0.3216985
284,23731,0.32401997
285,23523,0.32260436
286,19096,0.5590505
287,20907,0.31431136
288,16868,0.51895744
289,5579,0.37561202
290,5205,0.5520398
291,11373,0.33959472
292,8232,0.2904908
293,11620,0.3300603
294,10582,0.5279855
295,21180,0.28335327
296,24677,0.3074047
297,12518,0.34870607
298,19896,0.46353012
299,4331,0.28751928
300,10284,0.27484274
301,7121,0.30435818
302,7361,0.3099232
303,4734,0.285392
304,7446,0.31894222
305,24866,0.50187284
306,5192,0.5187923
307,6607,0.2665327
308,5439,0.35787553
309,19580,0.3235125
310,20887,0.32225782
311,10319,0.34798896
312,23295,0.34133244
313,18898,0.2859311
314,5552,0.27288598
315,16571,0.28835803
316,16554,0.2895887
317,23613,0.57737523
318,6166,0.34969556
319,18703,0.35367352
320,17627,0.56374085
321,3898,0.2953892
322,11563,0.5365835
323,5895,0.29301006
324,5045,0.28907514
325,24771,0.3300328
326,21127,0.2552873
327,4184,0.26658696
328,8181,0.27870893
329,8037,0.26874107
330,10806,0.28466186
331,19758,0.5018203
332,18712,0.27960756
333,23071,0.35756516
334,17417,0.28338602
335,19995,0.25764292
336,8345,0.28835803
337,19519,0.4779993
338,23718,0.5320133
339,10184,0.32045025
340,24275,0.5481405
341,4023,0.31871206
342,5406,0.36619768
343,4944,0.26094306
344,24927,0.2704425
345,24814,0.2670542
346,24204,0.26736167
347,4398,0.2690671
348,16911,0.28399217
349,19468,0.25764292
350,18051,0.38053113
351,24757,0.32861716
352,10248,0.28612262
353,19374,0.32918996
354,7299,0.307469
355,24941,0.3275205
356,4848,0.31952053
357,20781,0.26874107
358,19367,0.32260436
359,6221,0.49278638
360,22726,0.32790005
361,4136,0.26082146
362,7131,0.3438704
363,16867,0.2729401
364,16908,0.28850278
365,11654,0.30773494
366,10541,0.51165426
367,10875,0.32000762
368,8145,0.26942354
369,18502,0.3963183
370,17552,0.5438255
371,8435,0.27152193
372,22927,0.2797695
373,18173,0.38673252
374,10763,0.272246
375,24566,0.26750538
376,23725,0.554486
377,4437,0.25137755
378,7530,0.2618509
379,19158,0.43966535
380,24217,0.31480634
381,20584,0.306957
382,10185,0.2819236
383,6829,0.5092508
384,18953,0.50176656
385,22750,0.3139676
386,20271,0.24764985
387,19075,0.31571418
388,20903,0.3207813
389,19570,0.34798896
390,24495,0.33817908
391,21249,0.2618509
392,17559,0.48606908
393,24340,0.5287026
394,25170,0.25847882
395,3976,0.306957
396,5104,0.27904633
397,7787,0.2736572
398,5890,0.3681532
399,12152,0.45827422
400,23942,0.2718423
401,10731,0.48186117
402,23789,0.48411253
403,4921,0.25262767
404,11922,0.27328688
405,23050,0.31571418
406,4865,0.26874107
407,24708,0.2812065
408,4732,0.31089208
409,11677,0.26531577
410,6045,0.2876653
411,6524,0.3180696
412,19246,0.515107
413,17565,0.2616602
414,8426,0.29543892
415,7164,0.30983332
416,19262,0.32330287
417,7565,0.31017494
418,23109,0.4854765
419,18957,0.34456894
420,5175,0.44089514
421,19018,0.32045025
422,21159,0.3021689
423,24682,0.26943836
424,11324,0.3444432
425,12499,0.28048664
426,19029,0.55250806
427,8257,0.29615605
428,11265,0.34870607
429,11645,0.3229304
430,23837,0.2587741
431,11631,0.45901167
432,20675,0.28751928
433,22941,0.2819236
434,19633,0.2682039
435,10118,0.27814424
436,4607,0.26094306
437,20653,0.31871206
438,23642,0.33200544
439,18191,0.27995676
440,20046,0.48917747
441,24060,0.2697913
442,23754,0.32540593
443,4521,0.28719556
444,5339,0.37373242
445,18885,0.36157984
446,10177,0.3468265
447,24276,0.33370054
448,6892,0.2721244
449,11678,0.47939253
450,11225,0.28074253
451,5837,0.58886904
452,23737,0.25017107
453,4282,0.31054974
454,5094,0.36168706
455,8437,0.5403556
456,16444,0.30521733
457,5867,0.28467774
458,18499,0.3497774
459,24791,0.2812065
460,18611,0.2817291
461,19711,0.31480634
462,16785,0.49481302
463,23139,0.34414792
464,17237,0.26559561
465,17091,0.4577996
466,20744,0.27745873
467,10408,0.27484274
468,10387,0.2680788
469,16919,0.43445584
470,7717,0.30435717
471,4455,0.29905808
472,24752,0.3486585
473,6854,0.3494046
474,12466,0.28155106
475,24250,0.26144928
476,17566,0.5329903
477,23333,0.28083396
478,5882,0.27577966
479,10752,0.34870607
480,23928,0.26144928
481,16448,0.2616602
482,7316,0.32188722
483,21025,0.25004375
484,18638,0.358702
485,16865,0.29055578
486,17110,0.52385
487,23714,0.26902682
488,23162,0.38537726
489,23088,0.27632335
490,12406,0.33887762
491,20211,0.2809564
492,23844,0.2819236
493,8733,0.3206388
494,20354,0.26874107
495,10201,0.27632335
496,6973,0.5014463
497,25098,0.2683441
498,7371,0.27886134
499,20855,0.28023928
500,23345,0.28156692
501,4182,0.48495486
502,20773,0.30781403
503,23022,0.28177655
504,4426,0.2673041
505,17197,0.29240417
506,22711,0.31480634
507,7471,0.2741256
508,7114,0.3431533
509,8694,0.2616602
510,10462,0.3070178
511,18009,0.29159442
512,10861,0.32790005
513,4940,0.26307583
514,6373,0.27484274
515,23600,0.33817908
516,7172,0.4935066
517,20471,0.2714793
518,4874,0.29615605
519,10978,0.3438704
520,23044,0.54737127
521,19819,0.32188722
522,21372,0.31871206
523,19946,0.2703606
524,6512,0.31431603
525,17171,0.28835803
526,5504,0.35787553
527,21052,0.2649617
528,5857,0.3599782
529,24409,0.49901453
530,19049,0.53481114
531,10276,0.32095605
532,16871,0.2758537
533,24471,0.57169104
534,10152,0.56285113
535,18708,0.35787553
